placeId,address,category,phone,latitude,longitude,status,type,googleUrl,storeName,ratingText,stars,numberOfReviews,tileNumber
Jg6iRj9zR5zsR-YyLKPcl_Z4,"Shop No. 14, Bagh Baikriwala bldg., Pitha Street",General store, 073037 81032,18.9336874,72.8330519,Avaliable,Delivery,https://www.google.com/maps/place/Gupta+Provision+Store/data=!4m7!3m6!1s0x3be7d1dc8f91a883:0x9efd25f7288b8cf9!8m2!3d18.9336874!4d72.8330519!16s%2Fg%2F12hnjd60y!19sChIJg6iRj9zR5zsR-YyLKPcl_Z4?authuser=0&hl=en&rclk=1,Gupta Provision Store,4.8 stars 12 Reviews,4.8,12,"z=16,x=46026,y=29256"
JM6O7mKTR5zsRcxnm3cLz9Tg,Shop No 322 C S T,Store,090045 73871,18.937561,72.8334182,Avaliable,NA,https://www.google.com/maps/place/Premji+Vaviya+Shop/data=!4m7!3m6!1s0x3be7d1a498bba333:0x38f5f3c2dde61973!8m2!3d18.937561!4d72.8334182!16s%2Fg%2F11pf0cbbp1!19sChIJM6O7mKTR5zsRcxnm3cLz9Tg?authuser=0&hl=en&rclk=1,Premji Vaviya Shop,3.0 stars 1 Reviews,3,1,"z=16,x=46026,y=29255"
Jc_U6DOrR5zsRDE85QPhJlPk,"Shop No 20, CST, Shoorji Vallabhdas Rd",General store,091675 61062,18.9347644,72.8397759,Avaliable,NA,https://www.google.com/maps/place/DATTA+SHOP/data=!4m7!3m6!1s0x3be7d1ea0c3af573:0xf99449f840394f0c!8m2!3d18.9347644!4d72.8397759!16s%2Fg%2F11v3ws_xyw!19sChIJc_U6DOrR5zsRDE85QPhJlPk?authuser=0&hl=en&rclk=1,DATTA SHOP,NA,,,"z=16,x=46028,y=29256"
JqSUGkC7R5zsR_pw7SYgZCdU,undefined,Smart shopOpen 24 hours, 088286 40126,18.9385352,72.836334,Avaliable,In-store shopping,https://www.google.com/maps/place/Rojdeal/data=!4m7!3m6!1s0x3be7d12e900625a9:0xd5091988493b9cfe!8m2!3d18.9385352!4d72.836334!16s%2Fg%2F11rn3tmqsr!19sChIJqSUGkC7R5zsR_pw7SYgZCdU?authuser=0&hl=en&rclk=1,Rojdeal,5.0 stars 1 Reviews,5,1,"z=16,x=46027,y=29255"
JISl0DODR5zsRggp-M-PjX7M,"Western India House, Sir Phirozshah Mehta Rd",Home improvement store, 098191 27733,18.934,72.8341427,Avaliable,In-store shopping,"https://www.google.com/maps/place/The+Bombay+Store+-+P.M.+Road,+Fort,+Mumbai/data=!4m7!3m6!1s0x3be7d1e00c742921:0xb35fe3e3337e0a82!8m2!3d18.934!4d72.8341427!16s%2Fg%2F1tffh7c2!19sChIJISl0DODR5zsRggp-M-PjX7M?authuser=0&hl=en&rclk=1","The Bombay Store - P.M. Road, Fort, Mumbai","4.4 stars 1,488 Reviews",4.4,,"z=16,x=46027,y=29256"
JuxOR3i7R5zsRNpxgzIt9EUU,"Cst, Walchand Hirachand Marg",Store,088988 68222,18.9381025,72.8358109,Avaliable,NA,https://www.google.com/maps/place/Ram+Kumar+Shop/data=!4m7!3m6!1s0x3be7d12ede9113bb:0x45117d8bcc609c36!8m2!3d18.9381025!4d72.8358109!16s%2Fg%2F11vhx4_l4r!19sChIJuxOR3i7R5zsRNpxgzIt9EUU?authuser=0&hl=en&rclk=1,Ram Kumar Shop,NA,,,"z=16,x=46027,y=29255"
Jg7ndqBDR5zsRloFMFOEKeDY,"Bus Depo, Cst, St George Rd, opp. Gpo Post Office",Store,088798 94913,18.9392987,72.8358773,Avaliable,NA,https://www.google.com/maps/place/SONU+MADHESHYA+FRUIT+SHOP/data=!4m7!3m6!1s0x3be7d110a8ddb983:0x36780ae1144c8196!8m2!3d18.9392987!4d72.8358773!16s%2Fg%2F11kk5wjh3g!19sChIJg7ndqBDR5zsRloFMFOEKeDY?authuser=0&hl=en&rclk=1,SONU MADHESHYA FRUIT SHOP,NA,,,"z=16,x=46027,y=29255"
Jf8tblv7R5zsR7IC4P4YjlZY,"WRCJ+3J8, Walton Rd",Grocery store,NA,18.9201545,72.831579,Avaliable,In-store shopping,https://www.google.com/maps/place/Stop+N+Shop/data=!4m7!3m6!1s0x3be7d1fe965bcb7f:0x969523863fb880ec!8m2!3d18.9201545!4d72.831579!16s%2Fg%2F11gr2c13y3!19sChIJf8tblv7R5zsR7IC4P4YjlZY?authuser=0&hl=en&rclk=1,Stop N Shop,5.0 stars 4 Reviews,5,4,"z=16,x=46026,y=29259"
J5V51pWjR5zsRVVA6OI0Uzr0,"CST STATION, Khau Gali, beside CHATRAPATI SHIVAJI TERMINUS",Store,081046 59583,18.9392941,72.8361543,Avaliable,NA,https://www.google.com/maps/place/MUKESH+SHOP/data=!4m7!3m6!1s0x3be7d168a5755ee5:0xbdce148d383a5055!8m2!3d18.9392941!4d72.8361543!16s%2Fg%2F11svv8_q59!19sChIJ5V51pWjR5zsRVVA6OI0Uzr0?authuser=0&hl=en&rclk=1,MUKESH SHOP,NA,,,"z=16,x=46027,y=29255"
J2Vulb47R5zsRb3k0X1zCw0s,"Bus Depo, Cst, Dr, Dr Dadabhai Naoroji Rd",Store,077180 81551,18.9399995,72.8343773,Avaliable,NA,https://www.google.com/maps/place/AJAY+KUMAR+NIRMAL+SHOP/data=!4m7!3m6!1s0x3be7d18e6fa55bd9:0x4bc3c25c5f34796f!8m2!3d18.9399995!4d72.8343773!16s%2Fg%2F11txpmdcrg!19sChIJ2Vulb47R5zsRb3k0X1zCw0s?authuser=0&hl=en&rclk=1,AJAY KUMAR NIRMAL SHOP,NA,,,"z=16,x=46027,y=29255"
JD-CZeU_R5zsRWp5d4hnOuKA,Shop No 44,Store,099874 11754,18.9383629,72.8348259,Avaliable,NA,https://www.google.com/maps/place/Rajnarayan+Baag+Shop/data=!4m7!3m6!1s0x3be7d14f7999e00f:0xa0b8ce19e25d9e5a!8m2!3d18.9383629!4d72.8348259!16s%2Fg%2F11pyk10vm7!19sChIJD-CZeU_R5zsRWp5d4hnOuKA?authuser=0&hl=en&rclk=1,Rajnarayan Baag Shop,3.0 stars 2 Reviews,3,2,"z=16,x=46027,y=29255"
Jv9a1Hy7R5zsRe_jhiH_xTqo,"Csmt, W H Marg, near G P O Post Office, opp. Cst Bus Depo",Store,079850 82866,18.9387516,72.8356562,Avaliable,NA,https://www.google.com/maps/place/SURENDRA+KUMAR+CLOTH+SHOP/data=!4m7!3m6!1s0x3be7d12e1fb5d6bf:0xaa4ef17f88e1f87b!8m2!3d18.9387516!4d72.8356562!16s%2Fg%2F11l770y1tj!19sChIJv9a1Hy7R5zsRe_jhiH_xTqo?authuser=0&hl=en&rclk=1,SURENDRA KUMAR CLOTH SHOP,NA,,,"z=16,x=46027,y=29255"
JTYlQEqjR5zsRWuEx7xXUn0c,"Shop No 1, Near, Fashion Street",Gift shop,083693 65429,18.9360221,72.8307617,Avaliable,NA,https://www.google.com/maps/place/Vijay+Shah+Shop/data=!4m7!3m6!1s0x3be7d1a81250894d:0x479fd415ef31e15a!8m2!3d18.9360221!4d72.8307617!16s%2Fg%2F11sbsqb76d!19sChIJTYlQEqjR5zsRWuEx7xXUn0c?authuser=0&hl=en&rclk=1,Vijay Shah Shop,NA,,,"z=16,x=46026,y=29256"
JV9XMhtnR5zsRfEKdOAzgaCI,"Shop No:69, Goa St",General store, 022 2261 6698,18.9377022,72.8371433,Avaliable,NA,https://www.google.com/maps/place/Kamlesh+General+Stores/data=!4m7!3m6!1s0x3be7d1d986ccd557:0x2268e00c389d427c!8m2!3d18.9377022!4d72.8371433!16s%2Fg%2F12jsyd3r9!19sChIJV9XMhtnR5zsRfEKdOAzgaCI?authuser=0&hl=en&rclk=1,Kamlesh General Stores,NA,,,"z=16,x=46027,y=29255"
JnZ8u29vR5zsRZhFroF0X63Y,"Shop No, 105, Perin Nariman St",Pharmacy, 080977 30642,18.9365488,72.835914,Avaliable,Delivery,https://www.google.com/maps/place/Super+Medical+%26+General+Stores/data=!4m7!3m6!1s0x3be7d1dbdb2e9f9d:0x76eb175da06b1166!8m2!3d18.9365488!4d72.835914!16s%2Fg%2F11tf41fv2q!19sChIJnZ8u29vR5zsRZhFroF0X63Y?authuser=0&hl=en&rclk=1,Super Medical & General Stores,NA,,,"z=16,x=46027,y=29256"
